group_name,subgenre,country,cat_front_gender,num_bpm_pref,num_growl_tolerance,num_blastbeat_tolerance,num_distortion_preference,num_tempo_variability,num_aggressivity_score,num_speed_score,num_heaviness_score,num_chain_listen_hours,num_riff_complexity_score,num_time_signature_complexity,num_song_length_avg,num_nb_bands_known,num_nb_subgenres_known,num_nb_albums_per_month,num_reading_hours_music,num_research_hours_music,num_youtube_gear_hours,num_theory_level,num_concerts_per_year,num_festivals_per_year,num_mosh_participation,num_crowdsurf_count,num_bruises_after_concert,num_decibels_tolerance,num_travel_for_festival_km,num_money_spent_concerts,num_nb_tour_merch_items,num_hearing_loss_risk_score,num_streaming_hours,num_social_media_hours,num_music_discovery_hours,num_spotify_discover_like_rate,num_yt_comment_rate,num_instagram_posts_music,num_discord_server_activity,num_playlist_creation_rate,num_audio_gear_spending,num_nb_headphones_owned,num_noise_var01,num_noise_var02,num_noise_var03,num_noise_var04,num_noise_var05,num_noise_var06,num_noise_var07,num_noise_var08,num_noise_var09,num_noise_var10,cat_subgenre_main,cat_subgenre_secondary,cat_favorite_band,cat_favorite_label,cat_favorite_instrument,cat_vocal_preference,cat_drumming_style,cat_guitar_style,cat_production_preference ,cat_music_platform,cat_clothing_style,cat_shoes,cat_festival_type,cat_mosh_preference ,cat_hair_length,cat_music_consumption_device,cat_listening_context,cat_record_collection_size,cat_tv_shows_pref,cat_social_presence,cat_fav_color,cat_spiritual_theme_pref,cat_lyric_style,cat_merch_preference,cat_art_style,cat_gig_pref,cat_social_metal_subculture,cat_spotify_usage,cat_favorite_era,cat_main_activity_at_concert,Unnamed: 83,cat_intensity_profile,cat_technicite_profile,cat_live_engagement,cat_digital_profile,cat_segment_label,cat_noise_var01,cat_noise_var02,cat_noise_var03,cat_noise_var04,cat_noise_var05,cat_noise_var06,cat_noise_var07,cat_noise_var08,cat_noise_var09,cat_noise_var10
Abnormality,death metal,usa,female,182.30582879252813,10.0,9.759184066704355,9.634146377131756,6.898728335834393,9.055527028059547,9.184491017777612,10.0,5.1567243038535295,6.210798016465124,6.6140373084097295,3.3044011880978577,91.13077848804686,4.956053333998132,4.044300075156824,3.6683505521593776,4.3830643815076575,3.6063348420583625,5.628477533086463,9.0,4.0,10.0,4.0,5.166155672518847,9.342397578496,1151.5764949406503,928.248702818254,2.0,7.899598672328247,8.145348009270553,6.853601070709489,5.248569648556263,7.193810465642921,1.8641670004953665,2.6379718268954453,2.225714253260807,5.06192482687789,903.2435610983198,4.9066857447470404,-0.5520262681594221,-0.9936849198426648,-0.05593699406042271,0.7825181806723981,-2.4787565179008344,-1.0730001540983543,1.0096857385188218,0.281829624418614,0.5118959120492431,0.662145281490603,death metal,brutal death metal,Abnormality,major,drums,growl,groove,riff_based,polished,physical,band_tshirt,sneakers,indoor,none,long,speakers,home,small,anime,lurker,black,occult,gore,tshirts,minimalist,arena,elitist,playlists,2000s,mosh,,extreme,mid,extreme,active,A,Z,W,X,Y,X,X,Z,X,W,Y
Aborted,death metal,belgium,male,187.95164144985435,8.834356831048616,6.86163296172128,6.743123328124368,4.85547302171887,7.021214396057944,6.709884912703269,8.053271026189554,4.355738892238074,4.290734670519367,5.199068574113002,3.137731450955462,100.90946215029734,5.485726856872394,4.421582802224784,4.829214560817123,4.05057198072684,2.1100023145472404,5.7813972009373495,8.0,1.0,10.0,5.0,6.290281804490127,8.70261116605669,1076.7402565250047,811.8687493115997,7.0,6.502165335559796,7.651372234224106,5.676603119093197,3.1754010276181597,5.398233244923833,2.5159043836598762,2.126438218559168,2.3253770470145514,4.408479712291016,664.0002160562829,3.694343105361258,0.15793334883469554,-1.7339224032296623,1.7690833257701195,1.55356466849423,0.5683113089658791,-1.3725142171743974,-1.4514533243732721,-1.280687251341067,2.0744513948094574,-0.5603007768981497,death metal,death metal,Aborted,underground,guitar,growl,technical,riff_based,raw,spotify,band_tshirt,vans,both,full,short,headphones,home,medium,metal_docs,lurker,black,occult,gore,tshirts,brutal,small_venue,elitist,playlists,2000s,listen,,high,mid,extreme,casual,A,Z,W,Z,Y,Y,Z,X,Z,W,W
Accuser,thrash metal,germany,male,187.3079271312613,8.767078840711779,10.0,7.661908097779645,7.831163978746926,8.368605082062034,8.57208600816071,9.584906121071452,6.990831125366071,6.808981208626787,5.654309245902388,4.7181416249770685,105.82104667279172,6.300201902311112,3.854355666113901,4.694059460298268,5.20687313409942,3.010084606358644,6.408364881551184,7.0,2.0,8.551924846482306,5.0,7.54316091185496,8.35194756921275,1142.4573661453583,849.1572451292245,8.0,9.678691972608858,8.783676999964307,6.074889473333183,4.0388016594830045,6.848293137445184,3.5366402022095382,0.8086185659424663,3.7631880004795937,3.9742551261633063,599.2614884506406,5.301075437240274,-0.5643132377612419,1.5326278923931278,0.5359928049252244,0.36814655519840694,-0.16135270436911373,0.777355062737863,0.2291828347841731,1.2328036892688596,1.4855214886442982,-0.06834778836196333,thrash metal,thrash metal,Accuser,underground,drums,clean,blast,chugging,modern,spotify,band_tshirt,boots,indoor,full,short,amp_stack,commute,large,horror,content_creator,black,occult,storytelling,tshirts,vintage,small_venue,open_minded,playlists,old_school,mosh,,extreme,mid,extreme,active,A,X,W,Z,Z,X,W,Z,X,W,W
Alestorm,pirate metal,scotland,male,137.12517655550855,4.550321102008075,5.425237021612053,6.50726092507815,5.932104592414135,7.8234454437683825,7.186734935782715,7.072485131395475,4.429948510115657,8.504877021521372,7.508468473602038,4.97227874127627,94.80029316229854,4.625525107912926,4.541247554419211,5.163841127850826,6.279785813447101,4.930196985533561,8.506584548124994,6.0,2.0,8.487667180542935,3.0,5.587709252807032,6.29888834444857,772.161649348808,828.0413880456362,3.0,5.073190519973744,10.0,6.624652964105501,5.6345796050707575,8.905294485712977,4.250716017961168,1.8098738410488178,3.9735072311628947,4.610791119150348,836.1056089394956,4.823139565107192,0.7831365352724501,1.371067390768662,-0.9120785101897938,1.9748910853573585,-0.48144002289050875,0.7114636515675471,0.06597450310600346,-0.9558825880279255,-1.5051279426706532,-0.0283133356522669,pirate metal,eletronicore,Loathe,underground,guitar,mixed,technical,riff_based,polished,apple_music,streetwear,sneakers,none,full,medium,headphones,home,large,sitcom,content_creator,purple,sci_fi,political,hoodies,minimalist,festival,casual,albums,modern,mosh,,high,high,intense,active,D,X,Y,X,Z,Z,Y,Z,Y,Y,Y
Alien Weaponry,groove metal,new zealand,male,142.8175088359817,3.330471789424348,5.158385344163763,7.134339524419079,7.582331738871065,5.797234671030225,5.997993918465955,5.1976629527189555,3.5143242827792887,8.03201184890727,8.768372797140334,4.791522689821004,109.20538477680931,7.3532730764564285,5.208800997922858,5.983879960996417,5.209162084478508,4.378056173394087,9.313750124287672,3.0,1.0,5.350067126410997,2.0,5.371311068588421,7.539049941719917,791.5382133852256,803.8735942462163,1.0,6.31150055634389,6.368436782679469,6.982839257024468,6.554236361419569,6.288200472224,2.4574942432915896,0.16982578001924375,3.0622517032345553,5.356128456741708,598.9514987732483,3.6591336379569244,-0.18739922090398406,0.600745162884758,-0.7279804853641153,0.8971944180330614,0.18095995742113172,1.8120338910787854,1.7143803203566024,0.07424363469202304,-0.5367380603433028,-0.7679554337401511,groove metal,progressive metal,Alien Weaponry,indie,guitar,clean,groove,melodic,modern,youtube,casual_jeans,sneakers,indoor,light,medium,headphones,home,large,sci_fi,active,black,sci_fi,storytelling,hoodies,sci_fi,festival,open_minded,playlists,modern,film,,high,high,intense,active,C,W,Y,Z,Y,Z,W,X,Z,W,X
Anaal Nathrakh,blackened death metal,england,male,181.01241812126932,6.808614601231157,8.393241719968323,6.571343056271868,8.452089759505874,9.000348645583054,8.19232008603213,8.052833266023377,4.543055155094381,3.970689556489214,6.510992853779574,3.9222574274349147,103.13377460344107,7.880535644512591,2.056712256343242,3.0414413445418402,5.4791090378639495,2.9500327645193036,5.6609086409495974,5.0,1.0,6.737574836510762,0.0,1.7844605854682258,6.9149044556043675,574.4156421897171,841.7842364837153,1.0,4.549005557013481,5.01206224337804,4.269714590062888,3.8298592451690165,5.555714224064165,1.2789043483544518,1.3443870465385577,0.0,4.542621330485591,248.5240306774658,1.290590562099654,-0.9925328074971896,-0.8960888077757798,1.3747486832306544,-0.23479939411441825,-0.4958252538120278,-0.6857066210729733,-0.23013619311163766,-0.8577800019918477,0.4214507405553377,-0.7691302177438546,blackened death metal,blackened death metal,Anaal Nathrakh,indie,drums,scream,blast,tremolo,polished,spotify,corpse_paint,vans,outdoor,light,long,speakers,commute,small,art_films,lurker,black,pagan,philosophical,tshirts,minimalist,festival,casual,albums,old_school,drink,,high,mid,intense,casual,B,X,W,X,W,W,W,Y,W,W,X
AngelMaker,deathcore,canada,male,193.23686749007805,10.0,9.42026422460645,7.428877835132354,7.025109085738341,7.976992582887034,9.327416984471704,7.30152377114296,5.302533264974263,5.9211582588075045,6.423018639692795,2.5559412526348684,102.26372264808482,5.905708281436115,4.836181707031166,4.504758186987902,5.0925621548035,4.713002390890975,6.262136963494059,11.0,1.0,9.684093535439905,2.0,5.277754094756548,9.298224941353531,957.2984729108484,897.0432654309315,4.0,9.355733557269048,8.713960169752582,8.098665120433587,3.4597654102621878,6.851725318798621,1.19045882784642,1.7262602757622163,2.8573124963921974,4.878785719130252,818.9120499017881,3.8235757750862076,0.06577167518766158,1.8112676815591198,1.1266103486291923,0.8287114061289749,-2.123874919888356,0.21881937104680035,-0.17160059837507027,-0.546448057547991,-0.07028192201435018,1.010524020326713,deathcore,deathcore,Wind Rose,underground,guitar,growl,technical,chugging,polished,bandcamp,hoodie_black,vans,both,none,short,headphones,gym,medium,metal_docs,active,black,gore,gore,hoodies,brutal,small_venue,experimental,albums,old_school,listen,,extreme,mid,extreme,active,A,Y,X,Z,X,Z,Y,X,Y,W,Y
Arch Enemy,melodic death metal,sweden,female,197.4427856303611,10.0,9.778285453212993,9.277025256696168,6.58598021041592,7.808572933300607,8.95534462637918,8.535586634151734,5.774774534886059,8.330978349688463,7.3660553155287385,4.376600568695149,105.3991983388608,6.932136258008662,4.671765304080194,5.014295732660047,4.760991125678428,3.347263887757058,7.782312475940612,10.0,2.0,10.0,3.0,10.0,8.964261060660135,1382.8385080712485,1186.6077710667826,3.0,8.495162775751076,8.639481463394032,6.598485527591702,1.876892614744766,4.207625993405541,1.944012795596846,1.2221571056331157,2.5212405804451405,3.335540556877359,392.7135325001598,2.032566277124822,0.17033877080678794,-0.35171916152165594,0.028149910224203063,1.7059402787087732,0.9222479411719373,-1.2893351974019516,0.8549597531646885,1.486150645860495,-1.399405718282421,-0.419784377516816,melodic death metal,melodic death metal,Arch Enemy,underground,drums,growl,blast,chugging,modern,bandcamp,hoodie_black,sneakers,indoor,none,medium,amp_stack,home,large,none,lurker,black,other,storytelling,hoodies,cyberpunk,small_venue,elitist,discover_weekly,modern,film,,extreme,high,extreme,casual,A,Z,W,Y,Y,Z,Y,Z,W,W,Y
Astarte,black metal,greece,female,145.10409443418766,6.530633530693281,5.904608499357963,6.91297692415813,6.771099219731872,7.14614148153863,8.346453980372576,8.393770884550857,7.828165269474044,3.6265863928188398,5.84194606581324,4.907649014904353,86.3129712396704,6.949412601826248,3.9641844352984106,3.5234520048021505,5.450244074099789,2.6907269925725594,6.459826733812552,3.0,0.0,6.329740214120587,2.0,1.9419665470135585,5.267638690638666,486.2389094032832,630.1887886365397,1.0,3.454633691524222,6.994043805362971,6.268848606940997,4.742733516077899,4.301040804913189,1.119938724459597,0.0,2.011413985283184,4.1305635566673065,318.7490375073236,2.78009928266365,0.9346820628963304,-0.26902583122665236,-0.44252646553883224,1.9982889833413344,0.24301756134819305,-0.33503902273531805,-1.3263486680493446,0.1034571648936973,0.3853159514734912,-1.0946963870308715,black metal,atmospheric black metal,Battle Beast,underground,guitar,scream,blast,atmospheric,raw,spotify,all_black,boots,indoor,light,medium,amp_stack,work,large,none,lurker,black,anti_religion,abstract,tshirts,occult,festival,open_minded,playlists,old_school,listen,,high,mid,regular,casual,B,Y,Z,X,X,Z,Z,Y,W,Z,Y
Avatar,melodic death metal,sweden,male,165.55291507887858,9.873922243376406,9.446876473804352,8.92682978644368,7.626073228686625,7.547845873621085,9.287684637334495,9.749062196570298,6.765855319298766,6.0498560886751624,6.238434667291722,3.8893674455398575,89.44073892722231,5.999983909187992,5.124671716809453,4.566949881052587,5.368136471453829,3.6634565427726637,5.893674385171092,5.0,0.0,7.4966050489222855,3.0,5.621463572307202,7.708335240493224,900.0384061617378,775.6784980044979,4.0,5.106762975163986,7.857888623403214,6.501850959400839,4.938778621549564,5.6868783471898645,2.3472711342446813,1.6713516642788624,3.594769980223804,6.5994592285127744,621.2394307085918,3.9522837103642563,0.39314090314742434,1.437259080436076,1.1249328357046429,1.1868913445990807,-0.3139424547478518,-0.5188453132811776,-0.22088320655085864,-0.5592024737257201,-0.010016895116299348,-0.04314034406944269,melodic death metal,death metal,Avatar,underground,bass,scream,blast,chugging,modern,youtube,hoodie_black,vans,none,none,long,headphones,gym,medium,metal_docs,lurker,red,gore,storytelling,tshirts,cyberpunk,arena,elitist,albums,2000s,film,,extreme,mid,intense,active,A,Y,Z,X,Z,X,Z,Y,Y,X,X
